# x, y, dx, dy
8.422755102040816837e+02,4.250000000000000000e+01,4.281093569503241270e+00,-6.000000000000000000e+00
2.387948717948717956e+02,6.841025641025640880e+01,-2.954871794871792190e+00,-5.390256410256405672e+00
7.823962264150943611e+02,9.246226415094339757e+01,2.920012901144900752e+00,-5.017819706498954702e+00
5.361290322580645125e+02,1.081612903225806406e+02,9.820788530465733857e-01,-7.772401433691754846e+00
5.594482758620689538e+02,1.091551724137931103e+02,5.517241379310462435e-01,-1.768075639599558713e+00
4.650000000000000000e+02,1.289749999999999943e+02,-8.846153846153583800e-01,-5.705769230769220712e+00
5.375217391304347530e+02,1.750000000000000000e+02,1.446002805049147355e+00,-2.387096774193537385e+00
5.881200000000000045e+02,1.964799999999999898e+02,2.349387755102043229e+00,-4.684081632653061433e+00
3.425135135135134874e+02,2.060540540540540633e+02,-1.570656370656365652e+00,8.880308880307552499e-02
7.798857142857142435e+02,2.118000000000000114e+02,2.942857142857178587e+00,-3.542857142857144481e+00
2.012162162162162247e+02,2.147027027027027088e+02,6.701474201474013626e-01,2.933660933660917181e+00
5.383333333333333712e+02,2.141666666666666572e+02,1.095238095238073583e+00,6.904761904762040103e-01
5.621764705882352473e+02,2.138823529411764639e+02,1.680672268907642319e+00,-1.680672268907414946e-01
5.284545454545454959e+02,2.363181818181818130e+02,1.133689839572184610e+00,-7.200534759358276915e+00
3.859130434782608745e+02,2.763913043478260647e+02,-2.454710144927560123e+00,-1.682971014492750328e+00
4.100526315789473415e+02,2.754210526315789593e+02,-3.005012531328304703e+00,-1.706766917293236929e+00
6.261891891891891646e+02,2.824864864864865126e+02,2.513513513513544240e+00,-4.972972972973025207e+00
5.925750000000000455e+02,2.886999999999999886e+02,2.473780487804788208e+00,-3.846341463414603368e+00
5.534285714285714448e+02,2.954571428571428555e+02,2.699633699633636752e+00,-6.739194139194125910e+00
8.056578947368420813e+02,3.323157894736842195e+02,4.921052631578959335e-01,8.092105263157804984e-01
1.975000000000000000e+02,3.400000000000000000e+02,2.000000000000000000e+00,5.000000000000000000e+00
2.952083333333333144e+02,3.425416666666666856e+02,-1.486111111111085847e+00,-1.097222222222228538e+00
8.037037037037036953e+02,3.546666666666666856e+02,2.417508417508429375e+00,-1.606060606060623286e+00
8.395000000000000000e+02,3.550000000000000000e+02,1.100000000000022737e+00,0.000000000000000000e+00
7.647599999999999909e+02,3.672799999999999727e+02,-2.086956521736738068e-02,1.589565217391339047e+00
4.590000000000000000e+02,3.692142857142857224e+02,-3.000000000000000000e+00,-1.422619047619036792e+00
1.552500000000000000e+02,3.742857142857142776e+02,-1.129999999999995453e+00,-7.257142857142753201e-01
5.557500000000000000e+02,4.001666666666666856e+02,1.649999999999977263e+00,1.833333333333314386e+00
