# x, y, dx, dy
4.321999999999999886e+02,1.079000000000000057e+02,-1.239215686274519612e+00,-4.566666666666677088e+00
2.203055555555555429e+02,1.300277777777777715e+02,-1.972222222222200116e+00,-1.932539682539669457e+00
5.444925373134328765e+02,1.571194029850746290e+02,1.507462686567123455e+00,-2.925373134328367541e+00
5.972968750000000000e+02,1.851406250000000000e+02,2.421073717948729609e+00,-5.012419871794861592e+00
5.712500000000000000e+02,1.997500000000000000e+02,1.568181818181869858e+00,-1.568181818181813014e+00
4.491142857142856997e+02,2.071142857142857281e+02,-1.965349544072921617e+00,-5.199392097264450285e+00
1.981219512195121979e+02,2.176341463414634063e+02,-2.865540963101949501e+00,-3.429018136335201916e+00
5.341176470588235361e+02,2.221764705882353041e+02,1.382352941176463901e+00,-5.676470588235304149e+00
5.704444444444444571e+02,2.227777777777777715e+02,2.101010101010047038e+00,-5.141414141414145433e+00
6.049069767441860677e+02,2.366744186046511516e+02,2.622435020519787940e+00,-4.145006839945267529e+00
8.062222222222221717e+02,2.533888888888888857e+02,1.111111111111199534e+00,6.111111111111142691e-01
3.971000000000000227e+02,2.676499999999999773e+02,-3.054545454545461780e+00,-3.695454545454538220e+00
7.111666666666666288e+02,2.681666666666666856e+02,1.833333333333371229e+00,-3.666666666666742458e-01
5.633559322033897843e+02,2.759491525423728717e+02,1.199623352165758661e+00,-2.193596986817340166e+00
1.828000000000000114e+02,2.777599999999999909e+02,-2.321739130434792742e+00,-2.890434782608679143e+00
9.292173913043478706e+02,2.913913043478260647e+02,3.260869565212942689e-02,7.475845410628494392e-01
9.901052631578946830e+02,2.880000000000000000e+02,5.263157894737560127e-01,-5.263157894734149522e-02
6.146486486486486456e+02,2.955945945945945823e+02,3.045795795795811500e+00,-3.539039039039039380e+00
2.032222222222222285e+02,3.217407407407407618e+02,-2.782222222222230812e+00,-2.100740740740775436e+00
7.670833333333333712e+02,3.407083333333333144e+02,2.568840579710126804e+00,-1.882246376811565369e+00
1.975000000000000000e+02,3.490000000000000000e+02,-3.166666666666657193e+00,-3.500000000000000000e+00
8.105588235294117112e+02,3.529117647058823763e+02,9.117647058826605644e-02,1.138235294117635021e+00
