# x, y, dx, dy, p0_id, p1_id
6.247500000000000000e+02,1.465000000000000036e+01,1.725000000000022737e+00,2.075000000000001066e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.904736842105263577e+02,3.347368421052631504e+01,7.855750487328805320e-01,7.855750487329444809e-01,3.000000000000000000e+00,3.000000000000000000e+00
9.923043478260869961e+02,3.669565217391304657e+01,1.695652173913003935e+00,-1.274599542334101443e+00,5.000000000000000000e+00,5.000000000000000000e+00
6.227391304347826235e+02,4.521739130434782794e+01,2.329835082458771467e+00,-1.424287856071963176e+00,9.000000000000000000e+00,7.000000000000000000e+00
1.663076923076923208e+02,4.730769230769230660e+01,-1.441025641025646564e+00,-5.076923076923094413e-01,1.000000000000000000e+01,9.000000000000000000e+00
7.311379310344827900e+02,5.062068965517241281e+01,1.034482758620697496e+00,7.241379310344839837e-01,1.100000000000000000e+01,1.000000000000000000e+01
1.299687500000000000e+02,6.053125000000000000e+01,-1.812500000000000000e+00,-2.156250000000000000e+00,1.400000000000000000e+01,1.300000000000000000e+01
8.354400000000000546e+02,8.979999999999999716e+01,1.679999999999949978e+00,-1.000000000000000000e+00,2.200000000000000000e+01,2.100000000000000000e+01
8.360476190476190368e+02,9.761904761904762040e+01,1.268170426065125866e+00,-9.874686716791956087e-01,2.300000000000000000e+01,2.200000000000000000e+01
6.945652173913043725e+02,1.023043478260869534e+02,8.478260869560472202e-02,1.345652173913052252e+00,2.400000000000000000e+01,2.300000000000000000e+01
6.285882352941176805e+02,1.054705882352941160e+02,1.260504201679850667e-01,2.243697478991592220e+00,2.500000000000000000e+01,2.500000000000000000e+01
7.582222222222221717e+02,1.119166666666666714e+02,1.338753387533870409e+00,-5.995934959349682458e-01,2.800000000000000000e+01,2.600000000000000000e+01
6.004166666666666288e+02,1.362500000000000000e+02,7.009803921569073282e-01,1.808823529411768050e+00,3.200000000000000000e+01,3.200000000000000000e+01
6.561739130434782510e+02,1.441304347826086882e+02,2.966751918158934131e-01,1.222506393861891638e+00,3.400000000000000000e+01,3.400000000000000000e+01
2.991818181818181870e+02,1.602727272727272805e+02,-9.090909090912191459e-02,2.181818181818186986e+00,3.600000000000000000e+01,3.700000000000000000e+01
8.136666666666666288e+02,1.644444444444444571e+02,-5.833333333332575421e-01,1.722222222222200116e+00,3.800000000000000000e+01,3.800000000000000000e+01
6.335000000000000000e+02,1.680999999999999943e+02,3.125000000000000000e-01,1.775000000000005684e+00,3.900000000000000000e+01,3.900000000000000000e+01
8.646666666666666288e+02,1.710833333333333428e+02,1.166666666666742458e+00,-1.000000000000000000e+00,4.000000000000000000e+01,4.000000000000000000e+01
6.250000000000000000e+02,1.875000000000000000e+02,7.058823529412165954e-01,1.147058823529420124e+00,4.200000000000000000e+01,4.300000000000000000e+01
7.866470588235293917e+02,2.209411764705882320e+02,-8.692810457515633971e-01,1.836601307189539511e+00,5.100000000000000000e+01,5.200000000000000000e+01
3.965714285714285552e+02,2.272857142857142776e+02,-1.821428571428555188e+00,1.089285714285722406e+00,5.400000000000000000e+01,5.400000000000000000e+01
2.078750000000000000e+02,2.390000000000000000e+02,4.583333333333428072e-01,1.222222222222228538e+00,5.600000000000000000e+01,5.600000000000000000e+01
3.471999999999999886e+02,2.408000000000000114e+02,-1.999999999999886313e-01,2.199999999999988631e+00,5.700000000000000000e+01,5.900000000000000000e+01
7.050909090909091219e+02,2.402727272727272805e+02,-9.090909090912191459e-02,1.573426573426559116e+00,5.800000000000000000e+01,5.700000000000000000e+01
3.460476190476190368e+02,2.553809523809523796e+02,-4.285714285714448124e-01,1.095238095238102005e+00,6.100000000000000000e+01,6.100000000000000000e+01
3.185000000000000000e+02,2.580000000000000000e+02,-3.000000000000113687e-01,6.000000000000227374e-01,6.200000000000000000e+01,6.200000000000000000e+01
5.101666666666666856e+02,2.634166666666666856e+02,-1.282051282055363117e-02,2.814102564102540782e+00,6.500000000000000000e+01,6.700000000000000000e+01
7.317692307692307168e+02,2.640000000000000000e+02,5.641025641026544690e-01,1.666666666666856145e-01,6.700000000000000000e+01,6.600000000000000000e+01
3.815714285714285552e+02,2.812857142857142776e+02,-6.714285714285779250e-01,1.514285714285733775e+00,7.400000000000000000e+01,7.300000000000000000e+01
4.896000000000000227e+02,2.978000000000000114e+02,-1.714285714285779250e-01,9.142857142857110375e-01,8.000000000000000000e+01,8.000000000000000000e+01
6.005714285714285552e+02,3.047142857142857224e+02,-1.714285714285779250e-01,1.585714285714288962e+00,8.200000000000000000e+01,8.200000000000000000e+01
3.900000000000000000e+02,3.111999999999999886e+02,0.000000000000000000e+00,1.466666666666696983e+00,8.400000000000000000e+01,8.600000000000000000e+01
4.073333333333333144e+02,3.094444444444444571e+02,0.000000000000000000e+00,1.111111111111085847e+00,8.500000000000000000e+01,8.400000000000000000e+01
5.278750000000000000e+02,3.148750000000000000e+02,1.388888888891415263e-02,7.916666666666856145e-01,8.800000000000000000e+01,8.900000000000000000e+01
3.746000000000000227e+02,3.198000000000000114e+02,-1.000000000000000000e+00,0.000000000000000000e+00,9.100000000000000000e+01,9.100000000000000000e+01
4.098999999999999773e+02,3.341999999999999886e+02,-3.999999999999772626e-01,8.000000000000113687e-01,9.600000000000000000e+01,9.600000000000000000e+01
