# x, y, dx, dy, p0_id, p1_id
7.675000000000000000e+02,2.276470588235294201e+01,-3.928571428571103752e-01,2.413865546218485036e+00,2.000000000000000000e+00,2.000000000000000000e+00
2.979565217391304373e+02,3.839130434782608603e+01,-1.956521739130437254e+00,-2.391304347826086030e+00,5.000000000000000000e+00,6.000000000000000000e+00
5.512400000000000091e+02,3.965999999999999659e+01,7.066666666667060781e-01,-3.133333333333325754e-01,6.000000000000000000e+00,4.000000000000000000e+00
2.020000000000000000e+02,3.650000000000000000e+01,1.500000000000000000e+00,5.000000000000000000e+00,9.000000000000000000e+00,9.000000000000000000e+00
8.027878787878787534e+02,5.093939393939393767e+01,2.783549783549801759e+00,-2.225108225108222371e+00,1.200000000000000000e+01,1.200000000000000000e+01
7.639615384615384528e+02,6.569230769230769340e+01,-1.758241758241183561e-01,2.271978021978014795e+00,1.500000000000000000e+01,2.000000000000000000e+01
1.564074074074074190e+02,7.233333333333332860e+01,-9.074074074074189866e-01,-8.333333333333285964e-01,2.000000000000000000e+01,2.200000000000000000e+01
8.128181818181818699e+02,7.359090909090909349e+01,1.214076246334229836e+00,-5.586510263929653775e-01,2.100000000000000000e+01,2.100000000000000000e+01
2.531250000000000000e+02,7.700000000000000000e+01,-1.625000000000000000e+00,-1.750000000000000000e+00,2.300000000000000000e+01,2.500000000000000000e+01
7.078125000000000000e+02,8.606250000000000000e+01,1.187500000000000000e+00,4.375000000000000000e-01,2.600000000000000000e+01,2.800000000000000000e+01
5.564375000000000000e+02,1.019375000000000000e+02,1.419642857142889625e+00,1.991071428571430602e+00,2.900000000000000000e+01,3.400000000000000000e+01
7.340499999999999545e+02,1.030499999999999972e+02,1.450000000000045475e+00,-5.499999999999971578e-01,3.000000000000000000e+01,3.100000000000000000e+01
8.639375000000000000e+02,1.021875000000000000e+02,8.125000000000000000e-01,-1.875000000000000000e-01,3.100000000000000000e+01,3.300000000000000000e+01
6.206666666666666288e+02,1.150000000000000000e+02,1.800000000000068212e+00,-1.333333333333399651e-01,3.400000000000000000e+01,3.700000000000000000e+01
8.180833333333333712e+02,1.200000000000000000e+02,-3.910256410256351955e-01,1.230769230769226397e+00,3.500000000000000000e+01,3.800000000000000000e+01
7.569411764705882888e+02,1.224705882352941160e+02,1.699346405227970536e-01,1.307189542483655487e+00,3.600000000000000000e+01,3.900000000000000000e+01
7.995333333333333030e+02,1.252000000000000028e+02,9.666666666666969832e-01,4.249999999999971578e-01,3.700000000000000000e+01,4.000000000000000000e+01
6.060555555555555429e+02,1.350555555555555429e+02,3.888888888889141526e-01,1.685185185185190448e+00,3.800000000000000000e+01,4.100000000000000000e+01
5.550000000000000000e+02,1.402500000000000000e+02,1.866666666666674246e+00,6.833333333333371229e-01,4.100000000000000000e+01,4.400000000000000000e+01
5.944761904761904816e+02,1.528571428571428612e+02,9.585921325051458552e-01,3.621118012422357424e+00,4.200000000000000000e+01,4.600000000000000000e+01
4.428750000000000000e+02,1.597500000000000000e+02,-1.413461538461547207e+00,3.480769230769226397e+00,4.400000000000000000e+01,4.800000000000000000e+01
8.497857142857143344e+02,1.633571428571428612e+02,2.032467532467535420e+00,-1.629870129870141682e+00,4.600000000000000000e+01,4.900000000000000000e+01
3.160833333333333144e+02,1.692500000000000000e+02,-9.924242424242493144e-01,-5.227272727272804786e-01,4.800000000000000000e+01,5.100000000000000000e+01
6.437857142857143344e+02,1.982857142857142776e+02,-3.571428571433443722e-02,1.464285714285722406e+00,5.300000000000000000e+01,5.600000000000000000e+01
6.488571428571428896e+02,2.005714285714285836e+02,-1.428571428572240620e-01,1.714285714285693984e+00,5.600000000000000000e+01,5.900000000000000000e+01
5.140000000000000000e+02,2.060000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+00,5.900000000000000000e+01,6.300000000000000000e+01
6.406499999999999773e+02,2.126500000000000057e+02,-1.763157894736195885e-01,2.034210526315774814e+00,6.100000000000000000e+01,6.400000000000000000e+01
6.921428571428571104e+02,2.152142857142857224e+02,2.571428571428668874e-01,9.857142857142662251e-01,6.300000000000000000e+01,6.600000000000000000e+01
2.124444444444444571e+02,2.191111111111111143e+02,5.555555555554292368e-02,8.888888888888857309e-01,6.400000000000000000e+01,6.700000000000000000e+01
5.854583333333333712e+02,2.386666666666666572e+02,3.630952380951839586e-01,9.047619047619264165e-01,7.000000000000000000e+01,7.300000000000000000e+01
3.950000000000000000e+02,2.513600000000000136e+02,-9.655172413793025044e-01,-4.634482758620777076e-01,7.500000000000000000e+01,7.800000000000000000e+01
5.282222222222221717e+02,2.557777777777777715e+02,-1.222222222221489574e-01,1.222222222222228538e+00,7.800000000000000000e+01,8.100000000000000000e+01
4.095000000000000000e+02,2.615000000000000000e+02,-9.285714285714448124e-01,7.857142857142775938e-01,8.100000000000000000e+01,8.300000000000000000e+01
4.990000000000000000e+02,2.658000000000000114e+02,-5.000000000000000000e-01,1.999999999999886313e-01,8.600000000000000000e+01,8.900000000000000000e+01
4.173999999999999773e+02,2.761999999999999886e+02,-3.999999999999772626e-01,3.000000000000113687e-01,8.900000000000000000e+01,9.200000000000000000e+01
5.305000000000000000e+02,2.785000000000000000e+02,-2.000000000000454747e-01,1.300000000000011369e+00,9.000000000000000000e+01,9.400000000000000000e+01
3.820000000000000000e+02,2.895000000000000000e+02,9.500000000000000000e+00,1.000000000000000000e+00,9.700000000000000000e+01,1.000000000000000000e+02
2.623333333333333144e+02,2.936666666666666856e+02,1.666666666666856145e-01,1.333333333333314386e+00,9.900000000000000000e+01,1.020000000000000000e+02
2.215714285714285836e+02,2.978571428571428328e+02,-8.214285714285836093e-01,1.785714285716721861e-02,1.000000000000000000e+02,1.030000000000000000e+02
4.175000000000000000e+02,3.070000000000000000e+02,0.000000000000000000e+00,1.500000000000000000e+00,1.050000000000000000e+02,1.080000000000000000e+02
6.240000000000000000e+02,3.177142857142857224e+02,0.000000000000000000e+00,7.857142857142775938e-01,1.100000000000000000e+02,1.130000000000000000e+02
5.543333333333333712e+02,3.253333333333333144e+02,-1.333333333333257542e-01,1.066666666666662877e+00,1.110000000000000000e+02,1.140000000000000000e+02
4.181999999999999886e+02,3.293999999999999773e+02,-3.333333333330301684e-02,1.266666666666708352e+00,1.150000000000000000e+02,1.190000000000000000e+02
4.543999999999999773e+02,3.291999999999999886e+02,1.000000000000227374e-01,8.000000000000113687e-01,1.160000000000000000e+02,1.170000000000000000e+02
7.592105263157894797e+02,3.315789473684210407e+02,9.005847953216061796e-01,1.432748538011878736e-01,1.170000000000000000e+02,1.200000000000000000e+02
3.335000000000000000e+02,3.375000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.180000000000000000e+02,1.210000000000000000e+02
4.670000000000000000e+02,3.415000000000000000e+02,1.250000000000000000e-01,1.625000000000000000e+00,1.200000000000000000e+02,1.250000000000000000e+02
7.207500000000000000e+02,3.501250000000000000e+02,-3.214285714285551876e-01,7.321428571428327814e-01,1.230000000000000000e+02,1.260000000000000000e+02
2.636666666666666856e+02,3.523333333333333144e+02,-6.666666666666287711e-02,4.666666666666969832e-01,1.240000000000000000e+02,1.270000000000000000e+02
6.745000000000000000e+02,3.603750000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.280000000000000000e+02,1.310000000000000000e+02
6.782500000000000000e+02,3.647500000000000000e+02,1.250000000000000000e-01,6.250000000000000000e-01,1.310000000000000000e+02,1.370000000000000000e+02
4.950000000000000000e+02,3.690000000000000000e+02,2.500000000000000000e-01,1.000000000000000000e+00,1.350000000000000000e+02,1.380000000000000000e+02
5.745000000000000000e+02,3.735000000000000000e+02,5.000000000000000000e-01,5.000000000000000000e-01,1.380000000000000000e+02,1.410000000000000000e+02
3.520000000000000000e+02,3.770000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e-01,1.410000000000000000e+02,1.430000000000000000e+02
4.191250000000000000e+02,3.818750000000000000e+02,7.499999999998863132e-02,5.249999999999772626e-01,1.430000000000000000e+02,1.480000000000000000e+02
6.205000000000000000e+02,3.840000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e-01,1.470000000000000000e+02,1.510000000000000000e+02
5.355714285714285552e+02,3.865714285714285552e+02,5.357142857144481241e-02,5.535714285714448124e-01,1.490000000000000000e+02,1.520000000000000000e+02
3.396666666666666856e+02,3.898333333333333144e+02,-1.666666666666856145e-01,1.666666666666856145e-01,1.500000000000000000e+02,1.530000000000000000e+02
4.273333333333333144e+02,3.938333333333333144e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.520000000000000000e+02,1.550000000000000000e+02
6.330000000000000000e+02,4.122500000000000000e+02,-2.999999999999545253e-01,5.500000000000113687e-01,1.610000000000000000e+02,1.640000000000000000e+02
3.876666666666666856e+02,4.173333333333333144e+02,-1.666666666666856145e-01,6.666666666666856145e-01,1.630000000000000000e+02,1.660000000000000000e+02
3.908571428571428328e+02,4.241428571428571672e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.650000000000000000e+02,1.690000000000000000e+02
4.391666666666666856e+02,4.231666666666666856e+02,3.333333333330301684e-02,4.333333333333371229e-01,1.660000000000000000e+02,1.680000000000000000e+02
5.086000000000000227e+02,4.261999999999999886e+02,-1.000000000000227374e-01,8.000000000000113687e-01,1.670000000000000000e+02,1.700000000000000000e+02
5.736666666666666288e+02,4.383333333333333144e+02,0.000000000000000000e+00,3.333333333333712289e-01,1.740000000000000000e+02,1.760000000000000000e+02
