# x, y, dx, dy
1.160370370370370381e+02,1.233333333333333393e+01,6.296296296295622597e-02,1.516666666666665719e+00
8.247777777777778283e+02,3.016666666666666785e+01,6.888888888888686779e-01,2.333333333333307280e-01
6.543999999999999773e+02,3.420000000000000284e+01,2.427586206896535259e+00,-3.510344827586209249e+00
9.858888888888889142e+02,3.627777777777777857e+01,1.777777777777714618e+00,-8.968253968253989683e-01
7.872307692307692832e+02,3.761538461538461320e+01,1.197802197802161572e+00,-4.395604395604379988e-02
1.782307692307692264e+02,4.415384615384615330e+01,1.025641025641164106e-01,1.846153846153846700e+00
2.750000000000000000e+02,4.100000000000000000e+01,-2.000000000000000000e+00,-2.000000000000000000e+00
7.157777777777778283e+02,5.133333333333333570e+01,2.606837606837530075e+00,-3.217948717948722503e+00
8.283529411764706083e+02,5.241176470588235503e+01,1.328877005347521845e+00,-2.754010695187218971e-01
9.268780487804878021e+02,6.856097560975609895e+01,1.292682926829229473e+00,-7.317073170731731580e-01
3.267692307692307736e+02,7.038461538461538680e+01,-1.269230769230773603e+00,1.615384615384613198e+00
4.011818181818181870e+02,7.209090909090909349e+01,-2.253246753246742173e+00,-2.376623376623385298e+00
9.097719298245614254e+02,7.831578947368420529e+01,-3.948806442335808242e-01,1.635030198446941085e+00
6.879615384615384528e+02,9.353846153846153300e+01,-5.497737556561332894e-01,2.932126696832582979e+00
7.518333333333333712e+02,1.061666666666666714e+02,1.189922480620111855e+00,-5.155038759690029337e-01
8.490454545454545041e+02,1.059545454545454533e+02,4.762845849802488374e-01,4.367588932806398816e-01
8.288108108108108354e+02,1.233243243243243228e+02,1.557610241820725605e+00,-8.769559032716927049e-01
5.846499999999999773e+02,1.232999999999999972e+02,6.166666666666742458e-01,3.833333333333342807e+00
7.688333333333333712e+02,1.369166666666666572e+02,8.541666666666287711e-01,-4.166666666665719276e-02
8.231590909090908781e+02,1.402159090909090935e+02,-1.697292069632112543e-01,8.053675048356012667e-01
8.077272727272727479e+02,1.625454545454545325e+02,-9.772727272727479431e-01,1.954545454545467464e+00
8.606153846153846416e+02,1.672307692307692264e+02,6.846153846153129052e-01,-2.307692307692263967e-01
2.201666666666666572e+02,1.806666666666666572e+02,-1.166666666666657193e+00,-5.833333333333143855e-01
2.990000000000000000e+02,1.820000000000000000e+02,-1.000000000000000000e+00,1.500000000000000000e+00
6.560909090909091219e+02,2.112272727272727195e+02,-1.961722488038049050e-01,1.456937799043060977e+00
8.315882352941176805e+02,2.104117647058823479e+02,1.705882352941102909e+00,-9.411764705882319504e-01
6.208888888888889142e+02,2.146666666666666572e+02,6.111111111110858474e-01,1.333333333333342807e+00
3.798888888888889142e+02,2.671666666666666856e+02,-2.418300653595224503e-01,1.480392156862706088e+00
5.996111111111110858e+02,2.683888888888889142e+02,8.333333333333712289e-01,1.555555555555542924e+00
6.647999999999999545e+02,2.748000000000000114e+02,1.033333333333416704e+00,-8.000000000000113687e-01
6.960000000000000000e+02,2.765000000000000000e+02,1.666666666666287711e-01,5.000000000000000000e-01
5.278333333333333712e+02,2.835555555555555429e+02,3.095238095237391462e-01,1.087301587301624295e+00
4.920000000000000000e+02,2.882857142857142776e+02,0.000000000000000000e+00,-4.107142857142775938e-01
7.434285714285714448e+02,2.887142857142857224e+02,1.071428571428555188e+00,-5.892857142857224062e-01
3.945555555555555429e+02,2.967222222222222285e+02,-9.444444444444570763e-01,7.222222222222285382e-01
5.613999999999999773e+02,3.008000000000000114e+02,-1.777777777778055679e-01,1.088888888888902784e+00
2.741999999999999886e+02,3.144666666666666401e+02,2.166666666666969832e-01,1.200000000000045475e+00
4.125555555555555429e+02,3.261111111111110858e+02,-5.555555555554292368e-02,3.888888888889141526e-01
7.140909090909091219e+02,3.350000000000000000e+02,6.690909090908689905e-01,-1.200000000000045475e-01
3.186666666666666856e+02,3.443333333333333144e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.550000000000000000e+02,3.632857142857142776e+02,-2.857142857142775938e-01,1.428571428571672186e-01
6.827999999999999545e+02,3.728000000000000114e+02,1.400000000000090949e+00,-6.000000000000227374e-01
6.322000000000000455e+02,3.770666666666666629e+02,-1.333333333333257542e-01,7.333333333333484916e-01
4.388333333333333144e+02,3.788333333333333144e+02,-2.333333333332916482e-01,9.666666666666969832e-01
4.950000000000000000e+02,3.810000000000000000e+02,-1.999999999999886313e-01,1.399999999999977263e+00
5.260000000000000000e+02,3.810000000000000000e+02,3.333333333333712289e-01,6.666666666666856145e-01
4.371428571428571672e+02,3.854285714285714448e+02,0.000000000000000000e+00,1.000000000000000000e+00
3.462500000000000000e+02,3.862500000000000000e+02,-6.499999999999772626e-01,1.499999999999772626e-01
4.011666666666666856e+02,3.881666666666666856e+02,-1.666666666666856145e-01,3.333333333333143855e-01
6.245000000000000000e+02,3.930000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e-01
6.213750000000000000e+02,4.078750000000000000e+02,-8.088235294121659535e-02,2.426470588235360992e-01
4.660000000000000000e+02,4.162857142857142776e+02,-1.666666666666856145e-01,8.809523809524080207e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.495000000000000000e+02,4.221999999999999886e+02,2.142857142856655628e-01,3.714285714285665563e-01
4.643999999999999773e+02,4.291999999999999886e+02,1.000000000000227374e-01,3.000000000000113687e-01
3.877500000000000000e+02,4.336250000000000000e+02,1.250000000000000000e-01,2.500000000000000000e-01
5.341000000000000227e+02,4.536999999999999886e+02,1.000000000000227374e-01,6.000000000000227374e-01
