# x, y, dx, dy
6.163333333333333712e+02,1.696666666666666501e+01,2.479166666666628771e+00,-1.966666666666665009e+00
8.200000000000000000e+01,3.968181818181817988e+01,-7.272727272727337322e-01,9.090909090909349288e-02
8.363809523809524080e+02,5.219047619047618980e+01,5.014005602240558801e-01,5.154061624649841633e-01
9.321739130434782510e+02,6.632608695652173481e+01,1.115560640732269349e+00,-6.418764302059400961e-01
7.984444444444444571e+02,7.155555555555555713e+01,-9.629629629629334886e-01,2.481481481481480955e+00
2.213846153846153868e+02,7.315384615384616041e+01,-1.670329670329664395e+00,-9.395604395604522097e-01
3.844444444444444571e+02,7.666666666666667140e+01,-2.136752136752136266e+00,-1.128205128205138408e+00
7.395000000000000000e+02,8.200000000000000000e+01,8.999999999999772626e-01,-2.000000000000028422e-01
8.338125000000000000e+02,9.625000000000000000e+01,5.404411764706082977e-01,2.205882352941159752e-01
6.936000000000000227e+02,9.809999999999999432e+01,6.666666666660603369e-02,1.233333333333334281e+00
6.260000000000000000e+02,1.020000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00
7.572307692307692832e+02,1.092051282051282044e+02,6.652806652800791198e-02,4.705474705474728125e-01
8.324516129032258505e+02,1.276774193548387046e+02,2.741935483870975077e+00,-2.645161290322576519e+00
8.095555555555555429e+02,1.667777777777777715e+02,9.444444444444570763e-01,-6.111111111111142691e-01
8.686111111111110858e+02,2.154444444444444571e+02,1.020467836257353156e+00,-1.812865497076074917e-01
4.004545454545454390e+02,2.172727272727272805e+02,-6.083916083915710260e-01,1.958041958041945918e+00
3.215000000000000000e+02,2.555000000000000000e+02,-8.999999999999772626e-01,3.000000000000113687e-01
5.098999999999999773e+02,2.578999999999999773e+02,1.000000000000227374e-01,1.000000000000227374e-01
6.051499999999999773e+02,2.733999999999999773e+02,1.499999999999772626e-01,1.350000000000022737e+00
7.996000000000000227e+02,2.721200000000000045e+02,4.769230769230716760e-01,3.799999999999954525e-01
6.967142857142856656e+02,2.827142857142857224e+02,2.857142857143344372e-01,7.857142857142775938e-01
6.423333333333333712e+02,2.853333333333333144e+02,1.666666666666287711e-01,6.666666666666856145e-01
4.901250000000000000e+02,2.925000000000000000e+02,-1.250000000000000000e-01,5.000000000000000000e-01
7.450000000000000000e+02,2.982500000000000000e+02,-2.500000000000000000e-01,7.500000000000000000e-01
5.628888888888889142e+02,3.086666666666666856e+02,0.000000000000000000e+00,1.000000000000000000e+00
5.278888888888889142e+02,3.106666666666666856e+02,-1.388888888889141526e-01,1.583333333333314386e+00
3.718500000000000227e+02,3.130000000000000000e+02,-2.710526315789820728e-01,1.052631578947341495e+00
3.768000000000000114e+02,3.153999999999999773e+02,-3.714285714285665563e-01,1.314285714285745144e+00
4.108888888888889142e+02,3.316666666666666856e+02,-2.525252525252881242e-01,7.878787878787534282e-01
4.874285714285714448e+02,3.332857142857142776e+02,-2.857142857146754977e-02,1.514285714285733775e+00
7.166000000000000227e+02,3.361600000000000250e+02,-1.652173913043952780e-01,7.095652173912867511e-01
6.310000000000000000e+02,3.365000000000000000e+02,0.000000000000000000e+00,7.857142857142775938e-01
4.223999999999999773e+02,3.371999999999999886e+02,-1.142857142856996688e-01,2.285714285714561811e-01
3.170000000000000000e+02,3.490000000000000000e+02,-3.333333333333143855e-01,3.333333333333143855e-01
5.556000000000000227e+02,3.491999999999999886e+02,0.000000000000000000e+00,1.000000000000000000e+00
5.366000000000000227e+02,3.571999999999999886e+02,-2.857142857146754977e-02,5.142857142857337749e-01
2.576000000000000227e+02,3.628000000000000114e+02,-7.666666666667083518e-01,3.333333333330301684e-02
6.847999999999999545e+02,3.748000000000000114e+02,7.000000000000454747e-01,3.333333333330301684e-02
6.262000000000000455e+02,3.861999999999999886e+02,0.000000000000000000e+00,1.999999999999886313e-01
5.275000000000000000e+02,3.860000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
4.190000000000000000e+02,4.008333333333333144e+02,-1.666666666666856145e-01,0.000000000000000000e+00
4.248000000000000114e+02,4.101999999999999886e+02,0.000000000000000000e+00,8.000000000000113687e-01
6.216250000000000000e+02,4.105000000000000000e+02,2.205882352939170232e-02,3.235294117646958512e-01
4.158000000000000114e+02,4.156000000000000227e+02,3.666666666666742458e-01,5.666666666666628771e-01
4.650000000000000000e+02,4.202857142857142776e+02,0.000000000000000000e+00,2.142857142857224062e-01
6.000000000000000000e+02,4.190000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e-01
3.877777777777777715e+02,4.363333333333333144e+02,-2.777777777777146184e-02,1.666666666666856145e-01
5.071999999999999886e+02,4.423999999999999773e+02,0.000000000000000000e+00,2.000000000000454747e-01
5.375000000000000000e+02,4.485000000000000000e+02,1.000000000000227374e-01,3.000000000000113687e-01
4.545000000000000000e+02,4.500000000000000000e+02,-5.000000000000000000e-01,2.500000000000000000e-01
4.962222222222222285e+02,4.531111111111110858e+02,-5.555555555554292368e-02,3.888888888889141526e-01
5.753333333333333712e+02,4.503333333333333144e+02,1.666666666666287711e-01,1.666666666666856145e-01
