# x, y, dx, dy
5.750000000000000000e+02,1.596875000000000000e+01,2.600000000000022737e+00,-2.768750000000000711e+00
9.837333333333333485e+02,3.320000000000000284e+01,-1.920833333333348492e+00,2.549999999999997158e+00
2.801875000000000000e+02,3.506250000000000000e+01,-1.500000000000000000e+00,-1.375000000000000000e+00
7.783636363636363740e+02,3.554545454545454675e+01,1.136363636363626028e+00,-4.545454545454674644e-02
5.903703703703703241e+02,4.337037037037037379e+01,1.538720538720554032e+00,-1.415824915824920538e+00
9.579999999999999716e+01,4.429999999999999716e+01,-1.450000000000002842e+00,-1.149999999999998579e+00
7.049090909090908781e+02,5.181818181818182012e+01,1.629370629370669121e+00,-9.720279720279734192e-01
8.181818181818181301e+02,5.384848484848485128e+01,1.884848484848589578e+00,-1.348484848484851284e+00
9.250909090909091219e+02,6.650000000000000000e+01,9.090909090908780854e-01,-5.888888888888885731e-01
1.454074074074074190e+02,6.748148148148148096e+01,-8.074074074074246710e-01,-7.148148148148152359e-01
3.420357142857142776e+02,7.121428571428570820e+01,-2.112637362637372007e+00,-2.137362637362627993e+00
9.034333333333332803e+02,7.763333333333333997e+01,2.150000000000090949e+00,-1.333333333333342807e+00
7.240952380952380736e+02,8.442857142857143060e+01,2.220551378446089075e+00,-2.323308270676690768e+00
8.721250000000000000e+02,1.037500000000000000e+02,1.208333333333371229e+00,-3.055555555555571345e-01
8.158095238095238528e+02,1.264285714285714306e+02,-3.884711779448934976e-01,1.729323308270679149e+00
8.169024390243902189e+02,1.392439024390243958e+02,-9.254275301373127149e-01,2.319315951780197338e+00
1.789285714285714164e+02,1.567857142857142776e+02,-9.285714285714163907e-01,-4.285714285714163907e-01
3.060000000000000000e+02,1.750000000000000000e+02,-6.000000000000227374e-01,2.199999999999988631e+00
6.536666666666666288e+02,2.088333333333333428e+02,-5.000000000000000000e-01,1.833333333333314386e+00
3.632307692307692264e+02,2.213076923076923208e+02,-1.097435897435900642e+00,2.923076923076735056e-01
6.972500000000000000e+02,2.264166666666666572e+02,4.166666666666287711e-01,1.472222222222228538e+00
5.110000000000000000e+02,2.325000000000000000e+02,6.666666666666287711e-02,1.833333333333342807e+00
3.550909090909090651e+02,2.357272727272727195e+02,-8.686868686868365330e-01,3.494949494949509017e+00
2.248888888888888857e+02,2.441111111111111143e+02,-7.638888888888857309e-01,1.388888888888857309e-01
3.983333333333333144e+02,2.578333333333333144e+02,-8.333333333333143855e-01,1.166666666666685614e+00
5.942000000000000455e+02,2.590500000000000114e+02,8.526315789473528639e-01,3.710526315789479668e-01
3.846399999999999864e+02,2.609200000000000159e+02,-2.799999999999727152e-01,1.159999999999968168e+00
6.023333333333333712e+02,2.611666666666666856e+02,0.000000000000000000e+00,9.444444444444002329e-01
6.411666666666666288e+02,2.665000000000000000e+02,-3.333333333332575421e-01,1.333333333333314386e+00
5.270000000000000000e+02,2.730000000000000000e+02,1.111111111110858474e-01,1.222222222222228538e+00
4.000000000000000000e+02,2.797500000000000000e+02,-7.142857142857224062e-01,1.107142857142832781e+00
6.612222222222221717e+02,2.828888888888889142e+02,3.492063492063834929e-01,3.968253968253634412e-01
4.100909090909090651e+02,2.893636363636363740e+02,-9.090909090906507117e-02,1.836363636363614660e+00
5.611250000000000000e+02,2.921250000000000000e+02,-1.388888888891415263e-02,1.208333333333314386e+00
3.761250000000000000e+02,2.978750000000000000e+02,-1.250000000000000000e-01,1.375000000000000000e+00
3.885000000000000000e+02,3.010000000000000000e+02,-5.500000000000000000e+00,-3.333333333333143855e-01
2.147500000000000000e+02,3.028750000000000000e+02,-7.500000000000000000e-01,1.250000000000000000e-01
4.145454545454545610e+02,3.177272727272727479e+02,1.010101010098196639e-02,2.050505050505023519e+00
5.281111111111110858e+02,3.183333333333333144e+02,1.111111111110858474e-01,1.555555555555599767e+00
6.270000000000000000e+02,3.267142857142857224e+02,1.250000000000000000e-01,6.607142857142775938e-01
7.127727272727272521e+02,3.318181818181818130e+02,8.272727272727706804e-01,-3.381818181817948243e-01
5.545714285714285552e+02,3.367142857142857224e+02,-7.142857142855518759e-02,1.285714285714277594e+00
4.533333333333333144e+02,3.405000000000000000e+02,6.666666666666287711e-02,6.999999999999886313e-01
7.100000000000000000e+02,3.440000000000000000e+02,-7.999999999999545253e-01,1.600000000000022737e+00
2.611428571428571672e+02,3.577142857142857224e+02,-3.428571428571558499e-01,-1.142857142856996688e-01
5.260000000000000000e+02,3.725000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e-01
6.235000000000000000e+02,3.800000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e-01
3.480000000000000000e+02,3.825000000000000000e+02,1.999999999999886313e-01,8.999999999999772626e-01
5.072857142857142776e+02,3.865714285714285552e+02,4.761904761903679173e-02,7.619047619047591979e-01
6.260000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e-01
6.787999999999999545e+02,3.868000000000000114e+02,-1.999999999999317879e-01,3.999999999999772626e-01
4.196000000000000227e+02,3.908000000000000114e+02,-1.000000000000227374e-01,1.999999999999886313e-01
4.878888888888889142e+02,3.932222222222222285e+02,4.444444444444002329e-01,1.111111111111085847e+00
6.208750000000000000e+02,4.038750000000000000e+02,2.500000000000000000e-01,5.000000000000000000e-01
4.970000000000000000e+02,4.463000000000000114e+02,1.000000000000227374e-01,6.999999999999886313e-01
4.907142857142857224e+02,4.501428571428571672e+02,1.607142857142775938e-01,2.321428571428327814e-01
