# x, y, dx, dy, p0_id, p1_id
8.061707317073170316e+02,2.839024390243902474e+01,1.048780487804947370e+00,-1.219512195121943421e-01,3.000000000000000000e+00,3.000000000000000000e+00
5.747666666666666515e+02,4.403333333333333144e+01,1.603703703703672545e+00,-6.629629629629576471e-01,8.000000000000000000e+00,8.000000000000000000e+00
8.082999999999999545e+02,4.836666666666666714e+01,3.486486486486910508e-01,1.146846846846848678e+00,1.100000000000000000e+01,1.300000000000000000e+01
1.530000000000000000e+02,6.950000000000000000e+01,-1.033333333333331439e+00,-8.333333333333285964e-01,1.900000000000000000e+01,2.100000000000000000e+01
7.648999999999999773e+02,6.993333333333333712e+01,1.457142857142912362e+00,-1.476190476190453182e-01,2.000000000000000000e+01,2.200000000000000000e+01
8.950517241379310462e+02,7.703448275862068328e+01,-7.095490716176300339e-02,5.616710875331563102e-01,2.300000000000000000e+01,2.400000000000000000e+01
6.742142857142856656e+02,8.435714285714286120e+01,1.214285714285779250e+00,-1.500000000000000000e+00,2.400000000000000000e+01,2.500000000000000000e+01
7.109090909090908781e+02,8.645454545454545325e+01,1.702020202020207762e+00,-2.232323232323224715e+00,2.600000000000000000e+01,2.600000000000000000e+01
8.165000000000000000e+02,1.242500000000000000e+02,1.409090909090878085e+00,-7.045454545454532536e-01,3.500000000000000000e+01,3.600000000000000000e+01
5.600833333333333712e+02,1.427500000000000000e+02,1.345238095238073583e+00,1.535714285714277594e+00,4.200000000000000000e+01,4.300000000000000000e+01
8.546000000000000227e+02,1.601999999999999886e+02,-7.000000000000454747e-01,1.600000000000022737e+00,4.500000000000000000e+01,4.700000000000000000e+01
2.338000000000000114e+02,1.695999999999999943e+02,-4.250000000000113687e-01,7.750000000000056843e-01,4.800000000000000000e+01,4.900000000000000000e+01
6.930833333333333712e+02,2.185833333333333428e+02,5.320512820512703911e-01,4.166666666666571928e-01,6.400000000000000000e+01,6.500000000000000000e+01
3.628888888888889142e+02,2.330000000000000000e+02,-7.777777777778283053e-01,2.222222222222285382e-01,6.700000000000000000e+01,6.800000000000000000e+01
