# x, y, dx, dy, p0_id, p1_id
5.469199999999999591e+02,3.017999999999999972e+01,3.099230769230757687e+00,-4.929999999999999716e+00,3.000000000000000000e+00,1.000000000000000000e+00
6.328333333333333712e+02,3.044444444444444287e+01,1.000000000000000000e+00,1.000000000000000000e+00,4.000000000000000000e+00,4.000000000000000000e+00
2.025999999999999943e+02,3.639999999999999858e+01,4.000000000000056843e-01,3.600000000000001421e+00,8.000000000000000000e+00,1.100000000000000000e+01
5.697200000000000273e+02,4.592000000000000171e+01,1.203076923076878302e+00,7.723076923076916955e-01,1.100000000000000000e+01,1.300000000000000000e+01
6.890000000000000000e+02,4.600000000000000000e+01,5.000000000000000000e-01,1.500000000000000000e+00,1.200000000000000000e+01,1.500000000000000000e+01
8.010000000000000000e+02,5.175000000000000000e+01,2.235294117647072198e+00,-1.191176470588231950e+00,1.300000000000000000e+01,1.400000000000000000e+01
8.360000000000000000e+02,5.400000000000000000e+01,2.500000000000000000e+00,-2.500000000000000000e+00,1.600000000000000000e+01,1.600000000000000000e+01
7.637599999999999909e+02,6.464000000000000057e+01,1.200000000000045475e-01,1.599999999999994316e+00,1.900000000000000000e+01,2.000000000000000000e+01
9.194523809523809632e+02,6.609523809523810201e+01,-3.015873015874603880e-02,3.936507936507922523e-01,2.000000000000000000e+01,1.700000000000000000e+01
1.573448275862068897e+02,7.300000000000000000e+01,-9.374201787994707047e-01,-6.666666666666714036e-01,2.200000000000000000e+01,2.200000000000000000e+01
5.866666666666666288e+02,7.803703703703703809e+01,3.809523809524080207e-01,6.534391534391531309e+00,2.500000000000000000e+01,2.600000000000000000e+01
6.716666666666666288e+02,8.362500000000000000e+01,-1.839080459769775189e-01,1.616379310344825626e+00,2.700000000000000000e+01,2.700000000000000000e+01
8.142857142857143344e+02,9.014285714285713880e+01,1.214285714285665563e+00,-6.428571428571387969e-01,2.900000000000000000e+01,2.900000000000000000e+01
3.254285714285714448e+02,1.391428571428571388e+02,-8.285714285714220750e-01,6.571428571428725718e-01,4.200000000000000000e+01,4.200000000000000000e+01
5.936315789473684390e+02,1.501052631578947398e+02,1.035087719298189768e+00,3.085213032581464176e+00,4.400000000000000000e+01,4.400000000000000000e+01
8.490000000000000000e+02,1.636363636363636260e+02,1.000000000000000000e+00,-4.825174825174656235e-01,4.800000000000000000e+01,4.800000000000000000e+01
1.963333333333333428e+02,1.876666666666666572e+02,-1.770833333333342807e+00,-1.729166666666657193e+00,5.300000000000000000e+01,5.200000000000000000e+01
8.271785714285714448e+02,2.003214285714285836e+02,1.475274725274744014e+00,-5.906593406593572126e-01,5.800000000000000000e+01,5.600000000000000000e+01
5.143333333333333712e+02,2.035000000000000000e+02,-3.333333333333712289e-01,3.000000000000000000e+00,6.100000000000000000e+01,6.200000000000000000e+01
6.412857142857143344e+02,2.103333333333333428e+02,-5.079365079365061320e-01,2.388888888888885731e+00,6.300000000000000000e+01,6.300000000000000000e+01
6.880000000000000000e+02,2.070000000000000000e+02,0.000000000000000000e+00,2.500000000000000000e+00,6.400000000000000000e+01,6.400000000000000000e+01
6.918750000000000000e+02,2.138125000000000000e+02,2.788461538461888267e-01,1.572115384615386802e+00,6.600000000000000000e+01,6.600000000000000000e+01
2.330000000000000000e+02,2.385000000000000000e+02,-1.800000000000011369e+00,-1.099999999999994316e+00,7.500000000000000000e+01,7.500000000000000000e+01
6.090000000000000000e+02,2.375000000000000000e+02,5.714285714285551876e-01,2.142857142857224062e-01,7.600000000000000000e+01,7.600000000000000000e+01
7.910800000000000409e+02,2.605600000000000023e+02,-8.577777777778692325e-01,1.291851851851845367e+00,8.400000000000000000e+01,8.300000000000000000e+01
8.200833333333333712e+02,2.638333333333333144e+02,4.166666666666287711e-01,1.666666666666856145e-01,8.900000000000000000e+01,8.800000000000000000e+01
5.235714285714285552e+02,2.697142857142857224e+02,-7.142857142855518759e-02,2.857142857142775938e-01,9.000000000000000000e+01,9.000000000000000000e+01
4.103333333333333144e+02,2.766666666666666856e+02,-8.787878787878753428e-01,6.060606060606232859e-02,9.200000000000000000e+01,9.100000000000000000e+01
6.582000000000000455e+02,2.761999999999999886e+02,-3.250000000000454747e-01,1.050000000000011369e+00,9.300000000000000000e+01,9.300000000000000000e+01
5.305000000000000000e+02,2.780000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,9.400000000000000000e+01,9.500000000000000000e+01
7.378750000000000000e+02,2.772500000000000000e+02,-5.416666666666287711e-01,8.611111111110858474e-01,9.500000000000000000e+01,9.400000000000000000e+01
5.938888888888889142e+02,2.826666666666666856e+02,1.111111111106311000e-02,9.333333333333371229e-01,9.700000000000000000e+01,9.700000000000000000e+01
7.374285714285714448e+02,2.847142857142857224e+02,-1.785714285714448124e-01,7.857142857142775938e-01,9.800000000000000000e+01,9.800000000000000000e+01
3.830000000000000000e+02,2.895000000000000000e+02,-1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+02,1.000000000000000000e+02
4.924285714285714448e+02,2.977142857142857224e+02,-6.785714285714448124e-01,1.785714285714277594e+00,1.040000000000000000e+02,1.040000000000000000e+02
3.060000000000000000e+02,3.030000000000000000e+02,-1.666666666666856145e-01,1.000000000000000000e+00,1.060000000000000000e+02,1.060000000000000000e+02
4.175000000000000000e+02,3.060000000000000000e+02,-7.142857142855518759e-02,1.285714285714277594e+00,1.080000000000000000e+02,1.080000000000000000e+02
4.295000000000000000e+02,3.060000000000000000e+02,-3.750000000000000000e-01,8.750000000000000000e-01,1.090000000000000000e+02,1.090000000000000000e+02
4.546666666666666856e+02,3.285555555555555429e+02,-1.666666666666856145e-01,9.444444444444570763e-01,1.170000000000000000e+02,1.190000000000000000e+02
4.181999999999999886e+02,3.290000000000000000e+02,0.000000000000000000e+00,3.999999999999772626e-01,1.190000000000000000e+02,1.180000000000000000e+02
7.584210526315789593e+02,3.314210526315789593e+02,7.894736842105203323e-01,1.578947368420813291e-01,1.200000000000000000e+02,1.200000000000000000e+02
3.605714285714285552e+02,3.552857142857142776e+02,1.428571428571672186e-01,7.142857142857224062e-01,1.280000000000000000e+02,1.280000000000000000e+02
