# x, y, dx, dy, p0_id, p1_id
8.148275862068965125e+02,2.689655172413793238e+01,1.143002028397631875e+00,7.403651115618359313e-02,3.000000000000000000e+00,3.000000000000000000e+00
7.773999999999999773e+02,3.000000000000000000e+01,2.307692307692832401e-02,2.038461538461540101e+00,4.000000000000000000e+00,7.000000000000000000e+00
6.334827586206896513e+02,3.696551724137930961e+01,1.195812807881793560e+00,1.570197044334975089e+00,9.000000000000000000e+00,9.000000000000000000e+00
7.035000000000000000e+02,4.650000000000000000e+01,-3.333333333330301684e-02,2.433333333333330017e+00,1.400000000000000000e+01,1.300000000000000000e+01
8.159375000000000000e+02,5.062500000000000000e+01,6.250000000000000000e-02,1.375000000000000000e+00,1.500000000000000000e+01,1.400000000000000000e+01
3.467500000000000000e+02,6.939285714285713880e+01,-1.532608695652186270e+00,1.085403726708079830e+00,2.100000000000000000e+01,2.300000000000000000e+01
8.204642857142856656e+02,7.825000000000000000e+01,2.239417989418029720e+00,-1.657407407407404776e+00,2.500000000000000000e+01,2.600000000000000000e+01
6.795199999999999818e+02,8.820000000000000284e+01,3.930434782608926980e-01,4.086956521739040227e-01,2.800000000000000000e+01,2.900000000000000000e+01
6.033333333333333712e+02,9.208333333333332860e+01,1.393939393939376714e+00,1.007575757575764897e+00,2.900000000000000000e+01,3.100000000000000000e+01
8.232727272727272521e+02,9.100000000000000000e+01,2.000000000000000000e+00,-1.909090909090906507e+00,3.000000000000000000e+01,3.000000000000000000e+01
5.697058823529412166e+02,1.112941176470588260e+02,4.759358288769135470e-01,1.614973262032080470e+00,3.500000000000000000e+01,3.700000000000000000e+01
8.141111111111110858e+02,1.245000000000000000e+02,1.362573099415271827e+00,-2.894736842105203323e-01,3.800000000000000000e+01,3.900000000000000000e+01
3.165000000000000000e+02,1.445000000000000000e+02,-1.000000000000000000e+00,-5.000000000000000000e-01,4.200000000000000000e+01,4.400000000000000000e+01
1.804545454545454675e+02,1.569090909090909065e+02,-9.545454545454674644e-01,-4.090909090909065071e-01,4.400000000000000000e+01,4.600000000000000000e+01
2.268125000000000000e+02,1.711250000000000000e+02,6.875000000000000000e-01,2.708333333333342807e+00,4.900000000000000000e+01,5.100000000000000000e+01
4.264285714285714448e+02,1.891428571428571388e+02,-1.246753246753257827e+00,1.766233766233767710e+00,5.300000000000000000e+01,5.600000000000000000e+01
