# x, y, dx, dy, p0_id, p1_id
6.237500000000000000e+02,1.409999999999999964e+01,1.854651162790673879e+00,1.411627906976743674e+00,1.000000000000000000e+00,1.000000000000000000e+00
6.712857142857143344e+02,3.145714285714285552e+01,1.552995391705053407e+00,-1.070046082949307475e+00,2.000000000000000000e+00,2.000000000000000000e+00
9.917777777777778283e+02,3.681481481481481666e+01,1.327485380116854685e+00,-8.148148148148166570e-01,5.000000000000000000e+00,5.000000000000000000e+00
6.216000000000000227e+02,4.579999999999999716e+01,2.433333333333280279e+00,-1.633333333333332860e+00,9.000000000000000000e+00,8.000000000000000000e+00
1.670666666666666629e+02,4.746666666666666856e+01,-1.466666666666668561e+00,-2.666666666666657193e-01,1.000000000000000000e+01,1.000000000000000000e+01
7.306129032258064626e+02,5.064516129032258362e+01,1.012096774193537385e+00,2.298387096774163751e-01,1.100000000000000000e+01,1.100000000000000000e+01
1.307142857142857224e+02,6.150000000000000000e+01,-1.620535714285722406e+00,-2.031250000000000000e+00,1.400000000000000000e+01,1.400000000000000000e+01
3.761176470588235361e+02,7.394117647058823195e+01,-2.165266106442572891e+00,-3.697478991596625519e-01,1.900000000000000000e+01,1.900000000000000000e+01
8.354705882352941444e+02,9.794117647058823195e+01,1.386554621848745228e+00,-1.036414565826333956e+00,2.300000000000000000e+01,2.300000000000000000e+01
6.944285714285714448e+02,1.017142857142857082e+02,2.214285714285324502e-01,1.385714285714286120e+00,2.400000000000000000e+01,2.400000000000000000e+01
6.285789473684210407e+02,1.045263157894736850e+02,1.710526315789593355e-01,2.123684210526320726e+00,2.500000000000000000e+01,2.500000000000000000e+01
8.278421052631579187e+02,1.445052631578947455e+02,9.331756357184985973e-01,9.024246008277714282e-02,3.300000000000000000e+01,3.400000000000000000e+01
6.559166666666666288e+02,1.438750000000000000e+02,3.991228070175338871e-01,9.671052631578902492e-01,3.400000000000000000e+01,3.500000000000000000e+01
2.992500000000000000e+02,1.591666666666666572e+02,-5.000000000001136868e-02,2.533333333333331439e+00,3.600000000000000000e+01,3.800000000000000000e+01
6.332727272727272521e+02,1.675909090909090935e+02,2.897727272727479431e-01,1.284090909090906507e+00,3.900000000000000000e+01,4.000000000000000000e+01
6.246153846153846416e+02,1.873846153846153868e+02,6.068376068375300747e-01,8.931623931623846602e-01,4.200000000000000000e+01,4.400000000000000000e+01
6.746153846153846416e+02,2.080000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,4.700000000000000000e+01,4.700000000000000000e+01
7.871176470588235361e+02,2.203529411764705799e+02,-5.065359477124502519e-01,1.258169934640534393e+00,5.200000000000000000e+01,5.100000000000000000e+01
3.474285714285714448e+02,2.401428571428571388e+02,-4.285714285714448124e-01,1.857142857142861203e+00,5.700000000000000000e+01,5.800000000000000000e+01
2.122307692307692264e+02,2.510769230769230660e+02,-2.307692307692263967e-01,4.230769230769340083e-01,6.000000000000000000e+01,6.000000000000000000e+01
5.100909090909090651e+02,2.616363636363636260e+02,6.293706293706691213e-02,3.363636363636373972e+00,6.600000000000000000e+01,6.600000000000000000e+01
7.314166666666666288e+02,2.638333333333333144e+02,5.833333333333712289e-01,1.666666666666856145e-01,6.700000000000000000e+01,6.700000000000000000e+01
6.063888888888889142e+02,2.796111111111110858e+02,9.444444444444570763e-01,5.555555555559976710e-02,7.100000000000000000e+01,7.100000000000000000e+01
6.121666666666666288e+02,2.790000000000000000e+02,3.333333333333712289e-01,1.000000000000000000e+00,7.200000000000000000e+01,7.200000000000000000e+01
6.428333333333333712e+02,2.873333333333333144e+02,4.166666666666287711e-01,4.166666666666856145e-01,7.600000000000000000e+01,7.600000000000000000e+01
7.467999999999999545e+02,2.923999999999999773e+02,6.000000000000227374e-01,0.000000000000000000e+00,7.900000000000000000e+01,7.900000000000000000e+01
4.896666666666666856e+02,2.973333333333333144e+02,-9.523809523813042688e-02,9.523809523809632083e-01,8.000000000000000000e+01,8.000000000000000000e+01
6.005714285714285552e+02,3.047142857142857224e+02,5.357142857144481241e-02,6.607142857142775938e-01,8.200000000000000000e+01,8.200000000000000000e+01
3.860000000000000000e+02,3.050000000000000000e+02,-2.500000000000000000e-01,1.750000000000000000e+00,8.300000000000000000e+01,8.300000000000000000e+01
3.900000000000000000e+02,3.105000000000000000e+02,0.000000000000000000e+00,1.500000000000000000e+00,8.400000000000000000e+01,8.600000000000000000e+01
6.990000000000000000e+02,3.205000000000000000e+02,-5.714285714285551876e-01,1.357142857142832781e+00,9.200000000000000000e+01,9.300000000000000000e+01
3.634285714285714448e+02,3.217142857142857224e+02,7.142857142855518759e-02,2.857142857142775938e-01,9.300000000000000000e+01,9.200000000000000000e+01
7.424545454545454959e+02,3.223636363636363740e+02,5.454545454545041139e-01,3.030303030303116429e-01,9.400000000000000000e+01,9.400000000000000000e+01
4.100000000000000000e+02,3.340000000000000000e+02,-3.333333333333143855e-01,7.777777777777714618e-01,9.600000000000000000e+01,9.600000000000000000e+01
4.874285714285714448e+02,3.372857142857142776e+02,7.142857142855518759e-02,1.214285714285722406e+00,9.700000000000000000e+01,9.700000000000000000e+01
7.165217391304347530e+02,3.383913043478260647e+02,2.964426877471169064e-01,4.723320158103092581e-01,9.800000000000000000e+01,9.800000000000000000e+01
4.216000000000000227e+02,3.398000000000000114e+02,0.000000000000000000e+00,1.000000000000000000e+00,9.900000000000000000e+01,1.000000000000000000e+02
5.308888888888889142e+02,3.404444444444444571e+02,2.222222222221716947e-01,1.111111111111085847e+00,1.000000000000000000e+02,1.010000000000000000e+02
5.556000000000000227e+02,3.521999999999999886e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.040000000000000000e+02,1.060000000000000000e+02
7.140000000000000000e+02,3.528333333333333144e+02,0.000000000000000000e+00,6.666666666666856145e-01,1.070000000000000000e+02,1.070000000000000000e+02
3.522500000000000000e+02,3.663750000000000000e+02,-2.500000000000000000e-01,3.392857142857224062e-01,1.130000000000000000e+02,1.130000000000000000e+02
3.783750000000000000e+02,3.712500000000000000e+02,-8.928571428572240620e-02,1.785714285714448124e-01,1.150000000000000000e+02,1.150000000000000000e+02
4.365000000000000000e+02,3.855000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.220000000000000000e+02,1.220000000000000000e+02
4.945000000000000000e+02,3.870000000000000000e+02,-3.333333333333143855e-01,6.666666666666856145e-01,1.230000000000000000e+02,1.230000000000000000e+02
4.370000000000000000e+02,3.917500000000000000e+02,-1.428571428571672186e-01,8.214285714285551876e-01,1.280000000000000000e+02,1.280000000000000000e+02
7.000000000000000000e+02,3.926999999999999886e+02,5.000000000000000000e-01,-1.999999999999886313e-01,1.310000000000000000e+02,1.300000000000000000e+02
5.817999999999999545e+02,3.933999999999999773e+02,4.000000000000909495e-01,2.000000000000454747e-01,1.320000000000000000e+02,1.310000000000000000e+02
4.188000000000000114e+02,4.026000000000000227e+02,1.999999999999886313e-01,8.999999999999772626e-01,1.370000000000000000e+02,1.360000000000000000e+02
4.778181818181818130e+02,4.408181818181818130e+02,1.515151515150137129e-02,9.848484848487260024e-02,1.550000000000000000e+02,1.540000000000000000e+02
5.755000000000000000e+02,4.515000000000000000e+02,1.666666666666287711e-01,1.666666666666856145e-01,1.600000000000000000e+02,1.590000000000000000e+02
