# x, y, dx, dy, p0_id, p1_id
5.615428571428570876e+02,2.874285714285714377e+01,1.647619047619059529e+00,-1.623809523809523370e+00,2.000000000000000000e+00,2.000000000000000000e+00
2.865789473684210407e+02,3.421052631578947256e+01,-1.284829721362200416e+00,-6.222910216718275933e-01,4.000000000000000000e+00,5.000000000000000000e+00
7.716666666666666288e+02,3.418518518518518334e+01,2.633333333333325754e+00,-2.735185185185184054e+00,6.000000000000000000e+00,3.000000000000000000e+00
5.810000000000000000e+02,4.650000000000000000e+01,1.066666666666719721e+00,1.000000000000014211e-01,1.200000000000000000e+01,1.200000000000000000e+01
6.981666666666666288e+02,5.050000000000000000e+01,1.708333333333371229e+00,-1.750000000000000000e+00,1.300000000000000000e+01,1.300000000000000000e+01
8.201851851851852189e+02,7.385185185185184764e+01,-4.232804232810849498e-02,8.624338624338605541e-01,2.300000000000000000e+01,2.200000000000000000e+01
1.462307692307692264e+02,1.143846153846153868e+02,-1.143812709030100905e+00,-5.585284280936519963e-01,3.400000000000000000e+01,3.400000000000000000e+01
5.651538461538461888e+02,1.126153846153846132e+02,1.728506787330275074e+00,-1.027149321266961124e+00,3.500000000000000000e+01,3.300000000000000000e+01
8.210833333333333712e+02,1.230000000000000000e+02,2.138888888888800466e+00,-1.666666666666671404e+00,3.600000000000000000e+01,3.500000000000000000e+01
7.620000000000000000e+02,1.258888888888888857e+02,-7.857142857143344372e-01,2.396825396825391863e+00,3.700000000000000000e+01,3.800000000000000000e+01
8.080526315789473983e+02,1.267368421052631646e+02,2.225146198830429967e+00,-1.403508771929836030e+00,3.900000000000000000e+01,3.700000000000000000e+01
8.106969696969697452e+02,1.386515151515151558e+02,1.716363636363553269e+00,-7.315151515151683270e-01,4.000000000000000000e+01,3.900000000000000000e+01
3.176000000000000227e+02,1.404000000000000057e+02,-1.000000000000227374e-01,1.599999999999994316e+00,4.200000000000000000e+01,4.100000000000000000e+01
5.665000000000000000e+02,1.510000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00,4.400000000000000000e+01,4.300000000000000000e+01
6.034400000000000546e+02,1.652400000000000091e+02,9.099999999999681677e-01,7.099999999999795364e-01,4.600000000000000000e+01,4.700000000000000000e+01
2.299375000000000000e+02,1.710625000000000000e+02,-1.475961538461547207e+00,-9.855769230769340083e-01,4.900000000000000000e+01,4.800000000000000000e+01
3.093750000000000000e+02,1.703750000000000000e+02,-5.749999999999886313e-01,9.250000000000113687e-01,5.000000000000000000e+01,4.900000000000000000e+01
4.305000000000000000e+02,1.795000000000000000e+02,-1.100000000000022737e+00,3.400000000000005684e+00,5.100000000000000000e+01,5.100000000000000000e+01
6.578750000000000000e+02,1.910000000000000000e+02,1.625000000000000000e+00,-1.625000000000000000e+00,5.400000000000000000e+01,5.300000000000000000e+01
6.481538461538461888e+02,2.018461538461538396e+02,6.043956043947673606e-02,1.725274725274744014e+00,5.500000000000000000e+01,5.500000000000000000e+01
6.510000000000000000e+02,2.067142857142857224e+02,-1.666666666666287711e-01,1.619047619047620401e+00,5.900000000000000000e+01,5.900000000000000000e+01
6.426499999999999773e+02,2.176500000000000057e+02,4.611111111111085847e-01,5.166666666666515084e-01,6.300000000000000000e+01,6.300000000000000000e+01
6.965000000000000000e+02,2.197222222222222285e+02,-4.090909090908780854e-01,1.823232323232303997e+00,6.500000000000000000e+01,6.500000000000000000e+01
5.120000000000000000e+02,2.210000000000000000e+02,1.818181818181301423e-01,2.909090909090906507e+00,6.600000000000000000e+01,6.700000000000000000e+01
2.121818181818181870e+02,2.247272727272727195e+02,5.181818181818016456e-01,1.172727272727286163e+00,6.700000000000000000e+01,6.600000000000000000e+01
3.581999999999999886e+02,2.286999999999999886e+02,-5.000000000000000000e-01,1.600000000000022737e+00,6.800000000000000000e+01,6.800000000000000000e+01
3.346000000000000227e+02,2.404000000000000057e+02,-9.333333333333371229e-01,-2.333333333333484916e-01,7.200000000000000000e+01,7.300000000000000000e+01
