# x, y, dx, dy, p0_id, p1_id
5.473461538461538112e+02,3.000000000000000000e+01,3.868131868131854390e+00,-7.119047619047620401e+00,2.000000000000000000e+00,1.000000000000000000e+00
8.029487179487178992e+02,2.717948717948717885e+01,5.249662618084585120e-01,8.205128205128211505e-01,3.000000000000000000e+00,3.000000000000000000e+00
2.025000000000000000e+02,3.650000000000000000e+01,1.000000000000000000e+00,4.500000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+01
8.014642857142856656e+02,5.167857142857143060e+01,2.335714285714288962e+00,-1.392857142857145902e+00,1.300000000000000000e+01,1.300000000000000000e+01
8.370000000000000000e+02,5.250000000000000000e+01,1.799999999999954525e+00,-8.999999999999985789e-01,1.500000000000000000e+01,1.500000000000000000e+01
7.637857142857143344e+02,6.500000000000000000e+01,1.342857142856246355e-01,1.799999999999997158e+00,1.800000000000000000e+01,1.900000000000000000e+01
1.570714285714285836e+02,7.300000000000000000e+01,-8.492063492063550711e-01,-8.148148148148095515e-01,2.100000000000000000e+01,2.100000000000000000e+01
8.118750000000000000e+02,7.383333333333332860e+01,1.482142857142889625e+00,-5.119047619047591979e-01,2.200000000000000000e+01,2.200000000000000000e+01
5.554444444444444571e+02,1.003333333333333286e+02,1.622222222222262644e+00,2.200000000000002842e+00,3.000000000000000000e+01,2.900000000000000000e+01
6.195000000000000000e+02,1.160000000000000000e+02,1.730769230769283240e+00,-7.692307692307736033e-01,3.500000000000000000e+01,3.500000000000000000e+01
7.987999999999999545e+02,1.251333333333333400e+02,1.012500000000045475e+00,3.666666666666600349e-01,3.800000000000000000e+01,3.800000000000000000e+01
5.938750000000000000e+02,1.516250000000000000e+02,9.583333333333712289e-01,2.875000000000000000e+00,4.300000000000000000e+01,4.300000000000000000e+01
4.436666666666666856e+02,1.581666666666666572e+02,-1.238095238095240802e+00,2.333333333333342807e+00,4.500000000000000000e+01,4.500000000000000000e+01
8.490000000000000000e+02,1.638461538461538396e+02,1.307692307692263967e+00,-8.461538461538395950e-01,4.700000000000000000e+01,4.700000000000000000e+01
5.142000000000000455e+02,2.044000000000000057e+02,-2.000000000000454747e-01,2.599999999999994316e+00,6.000000000000000000e+01,6.100000000000000000e+01
6.412999999999999545e+02,2.108000000000000114e+02,-8.555555555554974489e-01,2.811111111111102900e+00,6.200000000000000000e+01,6.200000000000000000e+01
6.918235294117647527e+02,2.142352941176470722e+02,3.907563025209128682e-01,1.478991596638650208e+00,6.400000000000000000e+01,6.400000000000000000e+01
3.630833333333333144e+02,2.209166666666666572e+02,-5.448717948717671788e-01,7.756410256410219972e-01,6.600000000000000000e+01,6.600000000000000000e+01
3.326000000000000227e+02,2.348000000000000114e+02,-7.666666666667083518e-01,3.333333333333143855e-02,6.900000000000000000e+01,6.900000000000000000e+01
7.910000000000000000e+02,2.608461538461538680e+02,-9.629629629629334886e-01,1.487179487179446369e+00,8.100000000000000000e+01,8.200000000000000000e+01
4.100000000000000000e+02,2.610000000000000000e+02,-7.500000000000000000e-01,7.500000000000000000e-01,8.200000000000000000e+01,8.100000000000000000e+01
6.362999999999999545e+02,2.633999999999999773e+02,1.545454545455413609e-01,7.818181818182097231e-01,8.300000000000000000e+01,8.300000000000000000e+01
5.235714285714285552e+02,2.697142857142857224e+02,-7.142857142855518759e-02,2.857142857142775938e-01,8.800000000000000000e+01,8.800000000000000000e+01
6.585714285714285552e+02,2.762857142857142776e+02,-5.714285714285551876e-01,1.142857142857167219e+00,9.100000000000000000e+01,9.100000000000000000e+01
5.305000000000000000e+02,2.780000000000000000e+02,-2.500000000000000000e-01,1.375000000000000000e+00,9.200000000000000000e+01,9.300000000000000000e+01
7.378750000000000000e+02,2.772500000000000000e+02,-7.500000000000000000e-01,1.500000000000000000e+00,9.300000000000000000e+01,9.200000000000000000e+01
3.930000000000000000e+02,2.910000000000000000e+02,-1.000000000000000000e+00,0.000000000000000000e+00,9.900000000000000000e+01,9.900000000000000000e+01
4.921999999999999886e+02,2.986000000000000227e+02,-5.749999999999886313e-01,1.399999999999977263e+00,1.020000000000000000e+02,1.020000000000000000e+02
4.175000000000000000e+02,3.060000000000000000e+02,-1.666666666666856145e-01,1.555555555555542924e+00,1.060000000000000000e+02,1.060000000000000000e+02
5.542500000000000000e+02,3.250000000000000000e+02,1.499999999999772626e-01,8.000000000000113687e-01,1.120000000000000000e+02,1.120000000000000000e+02
3.266666666666666856e+02,3.293333333333333144e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.150000000000000000e+02,1.170000000000000000e+02
3.336666666666666856e+02,3.373333333333333144e+02,-1.666666666666856145e-01,6.666666666666856145e-01,1.190000000000000000e+02,1.190000000000000000e+02
4.672857142857142776e+02,3.410000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,1.210000000000000000e+02,1.210000000000000000e+02
3.605000000000000000e+02,3.555000000000000000e+02,7.142857142855518759e-02,7.857142857142775938e-01,1.260000000000000000e+02,1.260000000000000000e+02
4.443999999999999773e+02,3.631999999999999886e+02,-3.999999999999772626e-01,3.000000000000113687e-01,1.300000000000000000e+02,1.300000000000000000e+02
6.306363636363636260e+02,3.660909090909090651e+02,-3.506493506492915913e-01,6.233766233766573350e-01,1.340000000000000000e+02,1.330000000000000000e+02
5.743333333333333712e+02,3.733333333333333144e+02,3.333333333332575421e-01,3.333333333333712289e-01,1.390000000000000000e+02,1.390000000000000000e+02
6.218333333333333712e+02,3.730000000000000000e+02,-3.333333333341670368e-02,8.000000000000113687e-01,1.400000000000000000e+02,1.400000000000000000e+02
4.013999999999999773e+02,3.751999999999999886e+02,1.000000000000227374e-01,8.000000000000113687e-01,1.410000000000000000e+02,1.410000000000000000e+02
