# x, y, dx, dy
5.466956521739130039e+02,3.050000000000000000e+01,2.990622335890861905e+00,-4.715686274509803155e+00
6.326499999999999773e+02,3.055000000000000071e+01,1.114705882352950539e+00,9.205882352941152647e-01
1.075999999999999943e+02,4.660000000000000142e+01,-2.521739130434781373e-01,1.826086956521706384e-01
8.006799999999999500e+02,5.207999999999999829e+01,2.107878787878803450e+00,-1.140606060606060623e+00
8.370000000000000000e+02,5.200000000000000000e+01,1.200000000000045475e+00,-6.000000000000014211e-01
3.690606060606060623e+02,6.406060606060606233e+01,-9.242424242424363001e-01,4.666666666666671404e+00
1.573000000000000114e+02,7.286666666666666003e+01,-8.925925925925923821e-01,-5.333333333333314386e-01
5.866538461538461888e+02,7.746153846153846700e+01,3.006993006993070594e-01,6.765734265734266728e+00
6.716086956521738784e+02,8.360869565217390686e+01,-5.697151424283219967e-02,1.425787106446776420e+00
7.078461538461538112e+02,8.330769230769230660e+01,-3.365384615381117328e-02,2.754807692307693401e+00
8.142857142857143344e+02,9.014285714285713880e+01,1.214285714285665563e+00,-6.428571428571387969e-01
8.078804347826087451e+02,1.352282608695652186e+02,2.066411849011728918e-02,1.783325370281829692e-01
5.935789473684210407e+02,1.496315789473684106e+02,8.972431077694409396e-01,3.225563909774450622e+00
1.850000000000000000e+02,1.541666666666666572e+02,-8.333333333333428072e-01,0.000000000000000000e+00
4.443750000000000000e+02,1.573750000000000000e+02,-1.500000000000000000e+00,2.375000000000000000e+00
7.645000000000000000e+02,1.775000000000000000e+02,2.999999999999545253e-01,9.000000000000056843e-01
1.966875000000000000e+02,1.878750000000000000e+02,-1.981617647058811826e+00,-1.757352941176463901e+00
5.143750000000000000e+02,2.030000000000000000e+02,-3.750000000000000000e-01,3.000000000000000000e+00
3.792941176470588402e+02,2.088823529411764639e+02,-9.191176470588402481e-01,1.176470588235360992e-01
6.414545454545454959e+02,2.099090909090909065e+02,-8.045454545455186235e-01,2.740909090909099177e+00
6.918750000000000000e+02,2.138125000000000000e+02,2.678571428571103752e-01,1.401785714285722406e+00
2.330000000000000000e+02,2.385000000000000000e+02,-1.166666666666657193e+00,-5.000000000000000000e-01
6.087999999999999545e+02,2.376999999999999886e+02,7.714285714286006623e-01,1.428571428573377489e-02
7.911666666666666288e+02,2.602916666666666856e+02,-8.452380952380735835e-01,1.315476190476147167e+00
5.235714285714285552e+02,2.697142857142857224e+02,-7.142857142855518759e-02,2.857142857142775938e-01
5.304444444444444571e+02,2.777777777777777715e+02,5.555555555554292368e-02,7.222222222222285382e-01
7.378750000000000000e+02,2.772500000000000000e+02,-5.416666666666287711e-01,8.611111111110858474e-01
7.376666666666666288e+02,2.845000000000000000e+02,-4.166666666666287711e-01,1.000000000000000000e+00
4.005000000000000000e+02,2.860000000000000000e+02,-5.000000000000000000e-01,2.000000000000000000e+00
2.623333333333333144e+02,2.930000000000000000e+02,0.000000000000000000e+00,6.666666666666856145e-01
4.175714285714285552e+02,3.057142857142857224e+02,-7.142857142855518759e-02,1.285714285714277594e+00
4.295000000000000000e+02,3.060000000000000000e+02,-3.750000000000000000e-01,8.750000000000000000e-01
5.543333333333333712e+02,3.245000000000000000e+02,0.000000000000000000e+00,8.333333333333143855e-01
4.181999999999999886e+02,3.290000000000000000e+02,0.000000000000000000e+00,3.999999999999772626e-01
3.335000000000000000e+02,3.370000000000000000e+02,0.000000000000000000e+00,5.000000000000000000e-01
7.057999999999999545e+02,3.393999999999999773e+02,2.000000000000454747e-01,1.000000000000227374e-01
3.605714285714285552e+02,3.552857142857142776e+02,1.428571428571672186e-01,7.142857142857224062e-01
3.861250000000000000e+02,3.558750000000000000e+02,-1.250000000000000000e-01,1.125000000000000000e+00
2.622857142857142776e+02,3.577142857142857224e+02,4.285714285714448124e-01,1.142857142857110375e+00
5.240000000000000000e+02,3.625000000000000000e+02,3.333333333333712289e-01,8.333333333333143855e-01
6.782857142857143344e+02,3.640000000000000000e+02,-3.571428571433443722e-02,7.500000000000000000e-01
4.948571428571428328e+02,3.675714285714285552e+02,1.428571428571672186e-01,1.428571428571444812e+00
6.876666666666666288e+02,3.716666666666666856e+02,1.333333333333257542e-01,1.333333333333257542e-01
5.743333333333333712e+02,3.733333333333333144e+02,1.666666666666287711e-01,1.666666666666856145e-01
3.398333333333333144e+02,3.896666666666666856e+02,-1.666666666666287711e-01,1.666666666666287711e-01
5.975000000000000000e+02,4.050000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00
5.735000000000000000e+02,4.375000000000000000e+02,1.666666666666287711e-01,8.333333333333143855e-01
5.402500000000000000e+02,4.400000000000000000e+02,-2.500000000000000000e-01,5.000000000000000000e-01
