cbi_q_10,200,605,731,1269,1376,1838,1945,2439,2584,3026,3117,3591,3674,4179,4300,4753,4854,5412,5527,6017,6169,6621,6757,7216,7336,7853,7986,8616,8725,9247,9398,10212,10319,10779,10909,,,,,,,,
cbi_q_20,533,946,1065,1513,1667,2117,2228,2658,2796,3268,3366,3830,3924,4394,4514,4958,5099,5555,5663,6158,6282,6795,6925,7417,7575,8100,8195,8667,8811,9389,9486,10100,10200,,,,,,,,,,
cbi_q_30,285,694,802,1274,1382,1881,1991,2401,2500,2953,3077,3520,3615,4043,4160,4585,4702,5142,5252,5793,5890,6316,6436,6893,7035,7543,7672,8198,8331,8857,8957,9408,9540,10083,10196,,,,,,,,
rbi_q_10_1,262,765,858,1342,1446,1950,2006,2487,2596,3045,3182,4206,4348,4790,4927,5414,5525,6031,6148,6737,6870,7328,7469,7942,8086,8630,8757,9226,9345,9823,9981,10470,10600,,,,,,,,,,
rbi_q_10_2,204,607,722,1145,1249,1672,1797,2210,2322,2715,2843,3279,3385,3843,3950,4383,4483,4881,5017,5437,5537,6058,6160,6630,6750,7184,7300,7728,7845,8331,8436,8868,8986,9436,9542,9990,10080,10551,10648,,,,
rbi_q_20_1,246,671,811,1298,1422,1922,2049,2746,2872,3438,3563,4219,4337,4920,5057,5667,5826,6346,6486,7113,7222,7723,7914,8450,8629,9277,9448,9978,10148,10686,10823,,,,,,,,,,,,
rbi_q_20_2,430,944,1070,1501,1626,2079,2206,2656,2770,3233,3336,3765,3890,4374,4480,4972,5100,5567,5672,6123,6269,6713,6856,7299,7408,7910,8018,8531,8702,9198,9305,9975,10118,10793,10897,,,,,,,,
rbi_q_30_1,355,789,889,1299,1490,2008,2136,2533,2709,3178,3302,3757,3910,4342,4482,4985,5098,5540,5691,6118,6254,6661,6791,7244,7331,7729,7912,8302,8532,8869,9018,9421,9547,10026,10169,10516,10685,,,,,,
rbi_q_30_2,479,929,1029,1439,1522,1994,2096,2513,2598,3031,3142,3556,3673,4077,4232,4648,4760,5234,5341,5782,5914,6355,6464,6928,7086,7509,7636,8085,8196,8682,8774,9337,9474,10082,10209,10847,,,,,,,
rbi_q_30_05_1,1,54,134,530,644,1015,1162,1583,1674,2063,2182,2635,2758,3143,3263,3675,3796,4176,4310,4700,4806,5232,5349,5742,5871,6239,6357,6732,6847,7267,7346,7745,7879,8288,8411,8827,8946,9316,9469,9869,9985,10505,10627
rbi_q_30_05_2,95,459,566,971,1067,1451,1551,1935,2037,2444,2549,2945,3057,3460,3547,3944,4059,4469,4588,5003,5110,5521,5636,6034,6141,6579,6700,7091,7195,7647,7740,8160,8249,8649,8757,9184,9300,9672,9779,10118,10271,10741,10820
